feature_id,text_id,duplicate_group,source,split,direction,fraction,sign,dose,interaction_norm,beyond_gain_norm
28027,258,258,fineweb-edu-sample,check,random_0,0.01,1,-0.1,0.002131471764566059,0.002055633384926202
28027,258,258,fineweb-edu-sample,check,random_0,0.01,1,0.1,0.002188352433201315,0.002104898755070737
28027,258,258,fineweb-edu-sample,check,random_1,0.005,-1,-0.1,0.0016989137318493125,0.0012264430805909144
28027,258,258,fineweb-edu-sample,check,random_1,0.005,-1,0.1,0.0016471173722358912,0.0011405752181915555
28027,258,258,fineweb-edu-sample,check,random_1,0.005,1,-0.1,0.001552622224746253,0.0011232039319902217
28027,258,258,fineweb-edu-sample,check,random_1,0.005,1,0.1,0.0015193184247943392,0.0010528597288102788
28027,258,258,fineweb-edu-sample,check,random_1,0.01,-1,-0.1,0.0034812775837165418,0.0025258395195799387
28027,258,258,fineweb-edu-sample,check,random_1,0.01,-1,0.1,0.0034126995893860846,0.0023973450769084843
28027,258,258,fineweb-edu-sample,check,random_1,0.01,1,-0.1,0.002914854104143328,0.0021026603070865603
28027,258,258,fineweb-edu-sample,check,random_1,0.01,1,0.1,0.0028733630290098127,0.001975904391163447
28027,258,258,fineweb-edu-sample,check,random_2,0.005,-1,-0.1,0.0008308210167445288,0.000519905955938373
28027,258,258,fineweb-edu-sample,check,random_2,0.005,-1,0.1,0.0008355250097702897,0.0005108732347466119
28027,258,258,fineweb-edu-sample,check,random_2,0.005,1,-0.1,0.0010688649520236657,0.0007648663574733751
28027,258,258,fineweb-edu-sample,check,random_2,0.005,1,0.1,0.0010850007016063666,0.0007527661238757525
28027,258,258,fineweb-edu-sample,check,random_2,0.01,-1,-0.1,0.001392913491307529,0.0007629965866857034
28027,258,258,fineweb-edu-sample,check,random_2,0.01,-1,0.1,0.0014219728586986496,0.0007199004128799201
28027,258,258,fineweb-edu-sample,check,random_2,0.01,1,-0.1,0.002380226901544138,0.0017373013864313564
28027,258,258,fineweb-edu-sample,check,random_2,0.01,1,0.1,0.002420139868931959,0.001741435691769939
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.005,-1,-0.1,0.0007925865551993499,0.000581619510468905
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.005,-1,0.1,0.0007688537480295158,0.0005847060491265246
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.005,1,-0.1,0.0009132014223638803,0.00039711169573486166
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.005,1,0.1,0.0008470863144496337,0.00039765642159707775
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.01,-1,-0.1,0.0015799169409244063,0.0013549227970514701
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.01,-1,0.1,0.0015185561900729384,0.0013496544859282688
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.01,1,-0.1,0.0019945578507943856,0.0006602249490356883
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.01,1,0.1,0.0018744861702497358,0.000658032193725674
28027,258,258,fineweb-edu-sample,check,leading_pc,0.005,-1,-0.1,0.0029631216957443527,0.0005117979962989413
28027,258,258,fineweb-edu-sample,check,leading_pc,0.005,-1,0.1,0.0028732231210200293,0.0006690276267354116
28027,258,258,fineweb-edu-sample,check,leading_pc,0.005,1,-0.1,0.0028409911866677396,3.9150165305661625e-05
28027,258,258,fineweb-edu-sample,check,leading_pc,0.005,1,0.1,0.0027515386933501364,5.561138991172761e-05
28027,258,258,fineweb-edu-sample,check,leading_pc,0.01,-1,-0.1,0.006126429082989369,0.001803252509743754
28027,258,258,fineweb-edu-sample,check,leading_pc,0.01,-1,0.1,0.006001217379165499,0.002181031248964971
28027,258,258,fineweb-edu-sample,check,leading_pc,0.01,1,-0.1,0.0056393078173500545,0.0005018431854842587
28027,258,258,fineweb-edu-sample,check,leading_pc,0.01,1,0.1,0.005467732343100747,0.0003070690197940309
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.005,-1,-0.1,0.0012886540741958376,0.0012779382487639259
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.005,-1,0.1,0.0013650251557377029,0.001357593343630553
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.005,1,-0.1,0.0013228416752260061,0.0013218625666066852
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.005,1,0.1,0.0013930972829575212,0.0013911342603103703
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.01,-1,-0.1,0.0025736205032831855,0.0025158312251193572
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.01,-1,0.1,0.00268914297074427,0.0026444450737686336
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.01,1,-0.1,0.00264394140054296,0.0026241666976524673
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.01,1,0.1,0.0028117426386879713,0.0027910371205070897
28027,757,757,fineweb-edu-sample,fit,learned,0.005,-1,-0.1,0.0003876530666449566,0.0003143345243808554
28027,757,757,fineweb-edu-sample,fit,learned,0.005,-1,0.1,0.00039246218381399815,0.0003373699273573209
28027,757,757,fineweb-edu-sample,fit,learned,0.005,1,-0.1,0.0005037874278774232,0.0003331622269582747
28027,757,757,fineweb-edu-sample,fit,learned,0.005,1,0.1,0.0004965670075020537,0.00034805535750220384
28027,757,757,fineweb-edu-sample,fit,learned,0.01,-1,-0.1,0.0007153188359720602,0.0006419419436358293
28027,757,757,fineweb-edu-sample,fit,learned,0.01,-1,0.1,0.0007316024736609883,0.000682104458862043
28027,757,757,fineweb-edu-sample,fit,learned,0.01,1,-0.1,0.0011440817046517071,0.0006860498225375047
28027,757,757,fineweb-edu-sample,fit,learned,0.01,1,0.1,0.0011149909892603272,0.0007142446153342264
28027,757,757,fineweb-edu-sample,fit,random_0,0.005,-1,-0.1,0.0010694113811528458,0.0006574396203226758
28027,757,757,fineweb-edu-sample,fit,random_0,0.005,-1,0.1,0.001082485991012624,0.0006698559810486268
28027,757,757,fineweb-edu-sample,fit,random_0,0.005,1,-0.1,0.0009934869864136346,0.0007144330634219127
28027,757,757,fineweb-edu-sample,fit,random_0,0.005,1,0.1,0.0009929248511610252,0.000715974498114861
28027,757,757,fineweb-edu-sample,fit,random_0,0.01,-1,-0.1,0.0022173662583678403,0.001251931407460224
28027,757,757,fineweb-edu-sample,fit,random_0,0.01,-1,0.1,0.002221345172184694,0.0012729202425379859
28027,757,757,fineweb-edu-sample,fit,random_0,0.01,1,-0.1,0.0018851458986289284,0.0014563528598061633
